Date,Open,High,Low,Close,Adj Close,Volume,MA,MA2,Month,Year
2010-01-04,1117.699951171875,1122.300048828125,1097.0999755859375,1117.699951171875,1117.699951171875,184.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-05,1118.0999755859375,1126.5,1115.0,1118.0999755859375,1118.0999755859375,53.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-06,1135.9000244140625,1139.199951171875,1120.699951171875,1135.9000244140625,1135.9000244140625,363.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-07,1133.0999755859375,1133.0999755859375,1129.199951171875,1133.0999755859375,1133.0999755859375,56.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-08,1138.199951171875,1138.199951171875,1122.699951171875,1138.199951171875,1138.199951171875,54.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-09,1150.699951171875,1161.199951171875,1143.0,1150.699951171875,1150.699951171875,177.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-10,1150.699951171875,1161.199951171875,1143.0,1150.699951171875,1150.699951171875,177.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-11,1150.699951171875,1161.199951171875,1143.0,1150.699951171875,1150.699951171875,177.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-12,1128.9000244140625,1157.199951171875,1127.199951171875,1128.9000244140625,1128.9000244140625,51.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-13,1136.4000244140625,1136.4000244140625,1121.0,1136.4000244140625,1136.4000244140625,58.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-14,1137.0,1145.9000244140625,1132.800048828125,1142.5999755859375,1142.5999755859375,81.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-15,1132.800048828125,1133.4000244140625,1127.199951171875,1130.0999755859375,1130.0999755859375,50.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-16,1139.699951171875,1139.699951171875,1130.5,1139.699951171875,1139.699951171875,22.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-17,1139.699951171875,1139.699951171875,1130.5,1139.699951171875,1139.699951171875,22.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-18,1139.699951171875,1139.699951171875,1130.5,1139.699951171875,1139.699951171875,22.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-19,1139.699951171875,1139.699951171875,1130.5,1139.699951171875,1139.699951171875,22.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-20,1123.300048828125,1133.0,1109.800048828125,1112.300048828125,1112.300048828125,28.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-21,1102.699951171875,1107.5,1090.199951171875,1102.699951171875,1102.699951171875,99.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-22,1089.199951171875,1095.4000244140625,1083.0,1089.199951171875,1089.199951171875,58.0,1110.80599609375,1189.3219989013671,1.0,2010.0
2010-01-23,1095.199951171875,1095.199951171875,1095.199951171875,1095.199951171875,1095.199951171875,8.0,1110.80599609375,1189.3219989013671,1.0,2010.0
